Mouvement;Compte;NomCompte;compteFus;Libelle;Date;Debit;debitAvecTVA;Credit;creditAvecTVA;N Piece;Paiement;AouK;mois;annee;quartAnnee;saison;Journal
26500;411000L;CLIENTS DIVERS;CLIENTS DIVERS;CANARDS DES RIZCHQ CA 062;2022-01-03;0.0;0.0;280.8;280.8;CHQ CA062;CHQ;A;1;2022;1;1;CC
26500;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;CANARDS DES RIZCHQ CA 062;2022-01-03;280.8;280.8;0.0;0.0;CHQ CA062;CHQ;K;1;2022;1;1;CC
26502;411000L;CLIENTS DIVERS;CLIENTS DIVERS;CANARDS RIZIERECHQ CA 061;2022-01-03;0.0;0.0;631.5;631.5;CHQ CA 061;CHQ;A;1;2022;1;1;CC
26502;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;CANARDS RIZIERECHQ CA 061;2022-01-03;631.5;631.5;0.0;0.0;CHQ CA 061;CHQ;K;1;2022;1;1;CC
26503;411000L;CLIENTS DIVERS;CLIENTS DIVERS;10 CHQS MARCHES;2022-01-01;547.2;547.2;0.0;0.0;10 CHQS MARCHES;;A;1;2022;1;1;VE
26503;703001L;CONSERVES 5.5%;CONSERVES 5.5%;10 CHQS MARCHES;2022-01-01;0.0;0.0;518.67;547.2;10 CHQS MARCHES;;A;1;2022;1;1;VE
26503;445713L;TVA COLLECTEE 5.5%;TVA COLLECTEE 5.5%;10 CHQS MARCHES;2022-01-01;0.0;0.0;28.53;28.53;10 CHQS MARCHES;;A;1;2022;1;1;VE
26504;411000L;CLIENTS DIVERS;CLIENTS DIVERS;10 CHQS MARCHES;2022-01-01;0.0;0.0;547.2;547.2;10 CHQS MARCHES;;A;1;2022;1;1;CC
26504;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;10 CHQS MARCHES;2022-01-01;547.2;547.2;0.0;0.0;10 CHQS MARCHES;;K;1;2022;1;1;CC
26505;411000L;CLIENTS DIVERS;CLIENTS DIVERS;10 CHQS PAINS;2022-01-01;316.0;316.0;0.0;0.0;10 CHQS PAINS;;A;1;2022;1;1;VE
26505;703005L;PAIN 5,5%;PAIN 5,5%;10 CHQS PAINS;2022-01-01;0.0;0.0;299.52;316.0;10 CHQS PAINS;;A;1;2022;1;1;VE
26505;445713L;TVA COLLECTEE 5.5%;TVA COLLECTEE 5.5%;10 CHQS PAINS;2022-01-01;0.0;0.0;16.48;16.48;10 CHQS PAINS;;A;1;2022;1;1;VE
26506;411000L;CLIENTS DIVERS;CLIENTS DIVERS;10 CHQS PAINS;2022-01-01;0.0;0.0;316.0;316.0;10 CHQS PAINS;;A;1;2022;1;1;CC
26506;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;10 CHQS PAINS;2022-01-01;316.0;316.0;0.0;0.0;10 CHQS PAINS;;K;1;2022;1;1;CC
26513;625100K;VOYAGES & DEPLACEMENTS COMMUN.;VOYAGES;01 SNCF CBA;2022-01-03;9.1;9.1;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26513;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;01 SNCF CBA;2022-01-03;0.0;0.0;9.1;9.1;CBA;CBA;K;1;2022;1;1;CC
26514;401060L;R DIVERS;R DIVERS;REXEL 01/22;2022-01-04;0.0;0.0;309.55;309.55;01/22;;A;1;2022;1;1;AC
26514;606300L;FOURNITURES AGRI.;MATERIEL;REXEL 01/22;2022-01-04;257.96;309.55;0.0;0.0;01/22;;A;1;2022;1;1;AC
26514;445661L;TVA SUR ACHATS 20%;TVA SUR ACHATS 20%;REXEL 01/22;2022-01-04;51.59;51.59;0.0;0.0;01/22;;A;1;2022;1;1;AC
26515;401060L;R DIVERS;R DIVERS;REXEL CBA;2022-01-04;309.55;309.55;0.0;0.0;CBA;CBA;A;1;2022;1;1;CC
26515;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;REXEL CBA;2022-01-04;0.0;0.0;309.55;309.55;CBA;CBA;K;1;2022;1;1;CC
26516;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;02 STATION U CBA;2022-01-02;62.3;62.3;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26516;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;02 STATION U CBA;2022-01-02;0.0;0.0;62.3;62.3;CBA;CBA;K;1;2022;1;1;CC
26517;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;03 STATION U CBA;2022-01-03;52.0;52.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26517;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;03 STATION U CBA;2022-01-03;0.0;0.0;52.0;52.0;CBA;CBA;K;1;2022;1;1;CC
26518;618100K;DOCUMENTATION GENERALE COMMUN.;ENTRETIEN PERSONNEL;04 ARLESIMPRIM CBA;2022-01-03;36.74;36.74;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26518;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;04 ARLESIMPRIM CBA;2022-01-03;0.0;0.0;36.74;36.74;CBA;CBA;K;1;2022;1;1;CC
26519;626100K;FRAIS POSTAUX COMMUN.;FRAIS ADMINISTRATIFS;05 LA POSTE CBA;2022-01-03;12.2;12.2;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26519;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;05 LA POSTE CBA;2022-01-03;0.0;0.0;12.2;12.2;CBA;CBA;K;1;2022;1;1;CC
26520;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;06 SUPER U CBA;2022-01-04;10.62;10.62;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26520;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;06 SUPER U CBA;2022-01-04;0.0;0.0;10.62;10.62;CBA;CBA;K;1;2022;1;1;CC
26521;618100K;DOCUMENTATION GENERALE COMMUN.;ENTRETIEN PERSONNEL;07 MEJAN ACTES SUD CBA;2022-01-06;56.0;56.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26521;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;07 MEJAN ACTES SUD CBA;2022-01-06;0.0;0.0;56.0;56.0;CBA;CBA;K;1;2022;1;1;CC
26522;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;08 STATION U CBA;2022-01-08;70.0;70.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26522;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;08 STATION U CBA;2022-01-08;0.0;0.0;70.0;70.0;CBA;CBA;K;1;2022;1;1;CC
26523;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;09 BELVIBIO CBA;2022-01-08;46.7;46.7;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26523;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;09 BELVIBIO CBA;2022-01-08;0.0;0.0;46.7;46.7;CBA;CBA;K;1;2022;1;1;CC
26524;615501K;ENTRETIEN, REPA VEHICULES COMMUN.;VEHICULES;10 BEST DRIVE PNEU CBA;2022-01-06;180.67;180.67;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26524;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;10 BEST DRIVE PNEU CBA;2022-01-06;0.0;0.0;180.67;180.67;CBA;CBA;K;1;2022;1;1;CC
26525;625100K;VOYAGES & DEPLACEMENTS COMMUN.;VOYAGES;11 CARTE ZOU SNCF CBA;2022-01-07;70.0;70.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26525;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;11 CARTE ZOU SNCF CBA;2022-01-07;0.0;0.0;70.0;70.0;CBA;CBA;K;1;2022;1;1;CC
26528;625100K;VOYAGES & DEPLACEMENTS COMMUN.;VOYAGES;12 SNCF CBA;2022-01-10;16.0;16.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26528;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;12 SNCF CBA;2022-01-10;0.0;0.0;16.0;16.0;CBA;CBA;K;1;2022;1;1;CC
26529;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;13 INTERSTATION CBA;2022-01-09;79.77;79.77;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26529;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;13 INTERSTATION CBA;2022-01-09;0.0;0.0;79.77;79.77;CBA;CBA;K;1;2022;1;1;CC
26530;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;14 STATION U CBA;2022-01-11;60.0;60.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26530;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;14 STATION U CBA;2022-01-11;0.0;0.0;60.0;60.0;CBA;CBA;K;1;2022;1;1;CC
26531;606804K;HABILLEMENT;ENTRETIEN PERSONNEL;15 DECATHLON CBA;2022-01-13;46.0;46.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26531;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;15 DECATHLON CBA;2022-01-13;0.0;0.0;46.0;46.0;CBA;CBA;K;1;2022;1;1;CC
26532;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;16 BOUCHERIE DE LA CRAU;2022-01-13;51.76;51.76;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26532;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;16 BOUCHERIE DE LA CRAU;2022-01-13;0.0;0.0;51.76;51.76;CBA;CBA;K;1;2022;1;1;CC
26533;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;17 BIOCOOP CBA;2022-01-13;35.93;35.93;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26533;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;17 BIOCOOP CBA;2022-01-13;0.0;0.0;35.93;35.93;CBA;CBA;K;1;2022;1;1;CC
26534;401055L;OMAG;OMAG;OMAG 02/22;2022-01-14;0.0;0.0;25.6;25.6;02/22;;A;1;2022;1;1;AC
26534;602104L;ANIMAUX;ANIMAUX;OMAG 02/22;2022-01-14;21.33;25.6;0.0;0.0;02/22;;A;1;2022;1;1;AC
26534;445661L;TVA SUR ACHATS 20%;TVA SUR ACHATS 20%;OMAG 02/22;2022-01-14;4.27;4.27;0.0;0.0;02/22;;A;1;2022;1;1;AC
26535;401055L;OMAG;OMAG;OMAG CBA;2022-01-14;25.6;25.6;0.0;0.0;CBA;CBA;A;1;2022;1;1;CC
26535;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;OMAG CBA;2022-01-14;0.0;0.0;25.6;25.6;CBA;CBA;K;1;2022;1;1;CC
26536;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;18 INTERMARCHE CBA;2022-01-14;5.0;5.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26536;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;18 INTERMARCHE CBA;2022-01-14;0.0;0.0;5.0;5.0;CBA;CBA;K;1;2022;1;1;CC
26537;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;19 BIOCOOP CBA;2022-01-14;27.16;27.16;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26537;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;19 BIOCOOP CBA;2022-01-14;0.0;0.0;27.16;27.16;CBA;CBA;K;1;2022;1;1;CC
26538;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;20 STATION U CBA;2022-01-14;73.0;73.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26538;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;20 STATION U CBA;2022-01-14;0.0;0.0;73.0;73.0;CBA;CBA;K;1;2022;1;1;CC
26539;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;21 STATION U CBA;2022-01-15;78.25;78.25;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26539;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;21 STATION U CBA;2022-01-15;0.0;0.0;78.25;78.25;CBA;CBA;K;1;2022;1;1;CC
26540;401049L;PRIMEVERE MOTOCULTURE;PRIMEVERE MOTOCULTURE;PRIMEVERE 03/22;2022-01-15;0.0;0.0;69.0;69.0;03/22;;A;1;2022;1;1;AC
26540;624800L;CARBURANTS AGRICOLE;CARBURANTS;PRIMEVERE 03/22;2022-01-15;57.5;69.0;0.0;0.0;03/22;;A;1;2022;1;1;AC
26540;445661L;TVA SUR ACHATS 20%;TVA SUR ACHATS 20%;PRIMEVERE 03/22;2022-01-15;11.5;11.5;0.0;0.0;03/22;;A;1;2022;1;1;AC
26541;401049L;PRIMEVERE MOTOCULTURE;PRIMEVERE MOTOCULTURE;PRIMEVERE CBA;2022-01-14;69.0;69.0;0.0;0.0;CBA;CBA;A;1;2022;1;1;CC
26541;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;PRIMEVERE CBA;2022-01-14;0.0;0.0;69.0;69.0;CBA;CBA;K;1;2022;1;1;CC
26542;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;22 STATION U CBA;2022-01-15;51.32;51.32;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26542;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;22 STATION U CBA;2022-01-15;0.0;0.0;51.32;51.32;CBA;CBA;K;1;2022;1;1;CC
26543;625100K;VOYAGES & DEPLACEMENTS COMMUN.;VOYAGES;23 SNCF CBA;2022-01-15;6.9;6.9;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26543;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;23 SNCF CBA;2022-01-15;0.0;0.0;6.9;6.9;CBA;CBA;K;1;2022;1;1;CC
26544;606806K;DIVERS ENTRETIEN PERSONNES;ENTRETIEN PERSONNEL;24 LOU CIGALOUN CBA;2022-01-15;29.99;29.99;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26544;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;24 LOU CIGALOUN CBA;2022-01-15;0.0;0.0;29.99;29.99;CBA;CBA;K;1;2022;1;1;CC
26545;618100K;DOCUMENTATION GENERALE COMMUN.;ENTRETIEN PERSONNEL;25 ABO MEJAN ACTES SUDCBA;2022-01-16;56.0;56.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26545;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;25 ABO MEJAN ACTES SUDCBA;2022-01-16;0.0;0.0;56.0;56.0;CBA;CBA;K;1;2022;1;1;CC
26546;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;26 INTERMARCHE CBA;2022-01-18;10.0;10.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26546;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;26 INTERMARCHE CBA;2022-01-18;0.0;0.0;10.0;10.0;CBA;CBA;K;1;2022;1;1;CC
26547;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;27 SUPER U CBA;2022-01-18;267.84;267.84;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26547;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;27 SUPER U CBA;2022-01-18;0.0;0.0;267.84;267.84;CBA;CBA;K;1;2022;1;1;CC
26548;626100K;FRAIS POSTAUX COMMUN.;FRAIS ADMINISTRATIFS;28 LA POSTE TIMBRES CBA;2022-01-18;251.0;251.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26548;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;28 LA POSTE TIMBRES CBA;2022-01-18;0.0;0.0;251.0;251.0;CBA;CBA;K;1;2022;1;1;CC
26549;401055L;OMAG;OMAG;OMAG 04/22;2022-01-18;0.0;0.0;382.68;382.68;04/22;;A;1;2022;1;1;AC
26549;602105L;ENGRAIS, AMENDEMENTS, TERREAU;JARDIN;OMAG 04/22;2022-01-18;347.89;382.68;0.0;0.0;04/22;;A;1;2022;1;1;AC
26549;445662L;TVA SUR ACHATS 10%;TVA SUR ACHATS 10%;OMAG 04/22;2022-01-18;34.79;34.79;0.0;0.0;04/22;;A;1;2022;1;1;AC
26550;401055L;OMAG;OMAG;OMAG CBA;2022-01-18;382.68;382.68;0.0;0.0;CBA;CBA;A;1;2022;1;1;CC
26550;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;OMAG CBA;2022-01-18;0.0;0.0;382.68;382.68;CBA;CBA;K;1;2022;1;1;CC
26551;401013L;COOP AGRICOLE FONTVIEILLE;COOP AGRICOLE FONTVIEILLE;COOP FONTVIEILLE 05/22;2022-01-18;0.0;0.0;120.8;120.8;05/22;;A;1;2022;1;1;AC
26551;602234L;MATERIEL JARDIN;JARDIN;COOP FONTVIEILLE 05/22;2022-01-18;100.67;120.8;0.0;0.0;05/22;;A;1;2022;1;1;AC
26551;445661L;TVA SUR ACHATS 20%;TVA SUR ACHATS 20%;COOP FONTVIEILLE 05/22;2022-01-18;20.13;20.13;0.0;0.0;05/22;;A;1;2022;1;1;AC
26552;401013L;COOP AGRICOLE FONTVIEILLE;COOP AGRICOLE FONTVIEILLE;COOP FONTVIEILLE CBA;2022-01-18;120.8;120.8;0.0;0.0;CBA;CBA;A;1;2022;1;1;CC
26552;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;COOP FONTVIEILLE CBA;2022-01-18;0.0;0.0;120.8;120.8;CBA;CBA;K;1;2022;1;1;CC
26553;606803K;SANTE;ENTRETIEN PERSONNEL;29 PHARMACIE PONS CBA;2022-01-18;43.69;43.69;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26553;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;29 PHARMACIE PONS CBA;2022-01-18;0.0;0.0;43.69;43.69;CBA;CBA;K;1;2022;1;1;CC
26554;624800K;CARBURANTS COMMUNAUTAIRES;CARBURANTS;30 STATION U CBA;2022-01-18;76.0;76.0;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26554;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;30 STATION U CBA;2022-01-18;0.0;0.0;76.0;76.0;CBA;CBA;K;1;2022;1;1;CC
26555;606300K;FOURNITURES COMMUN.;MATERIEL;31 DE A COUDRE CBA;2022-01-19;47.48;47.48;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26555;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;31 DE A COUDRE CBA;2022-01-19;0.0;0.0;47.48;47.48;CBA;CBA;K;1;2022;1;1;CC
26556;626200K;TELEPHONE COMMUNAUTAIRE;FRAIS ADMINISTRATIFS;32 FREE MOHAMMED CBA;2022-01-21;12.88;12.88;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26556;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;32 FREE MOHAMMED CBA;2022-01-21;0.0;0.0;12.88;12.88;CBA;CBA;K;1;2022;1;1;CC
26557;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;33 JARDIN DES ALPILLESCBA;2022-01-22;16.3;16.3;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26557;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;33 JARDIN DES ALPILLESCBA;2022-01-22;0.0;0.0;16.3;16.3;CBA;CBA;K;1;2022;1;1;CC
26559;625100K;VOYAGES & DEPLACEMENTS COMMUN.;VOYAGES;35 FLIXBUS CBA;2022-01-21;47.98;47.98;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26559;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;35 FLIXBUS CBA;2022-01-21;0.0;0.0;47.98;47.98;CBA;CBA;K;1;2022;1;1;CC
26560;625100K;VOYAGES & DEPLACEMENTS COMMUN.;VOYAGES;36 FLIXBUS CBA;2022-01-21;54.98;54.98;0.0;0.0;CBA;CBA;K;1;2022;1;1;CC
26560;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;36 FLIXBUS CBA;2022-01-21;0.0;0.0;54.98;54.98;CBA;CBA;K;1;2022;1;1;CC
26561;401010L;B DIVERS;B DIVERS;BELVIBIO 06/22;2022-01-21;0.0;0.0;12.89;12.89;06/22;;A;1;2022;1;1;AC
26561;601900L;INGREDIENTS CONSERVERIE;CONSERVERIE;BELVIBIO 06/22;2022-01-21;12.22;12.89;0.0;0.0;06/22;;A;1;2022;1;1;AC
26561;445660L;TVA SUR ACHATS 5.5%;TVA SUR ACHATS 5.5%;BELVIBIO 06/22;2022-01-21;0.67;0.67;0.0;0.0;06/22;;A;1;2022;1;1;AC
26568;401060L;R DIVERS;R DIVERS;REMUAUX 07/22;2022-01-03;0.0;0.0;184.73;184.73;07/22;;A;1;2022;1;1;AC
26568;602238L;MATERIEL APICULTURE;APICULTURE;REMUAUX 07/22;2022-01-03;174.11;184.73;0.0;0.0;07/22;;A;1;2022;1;1;AC
26568;445660L;TVA SUR ACHATS 5.5%;TVA SUR ACHATS 5.5%;REMUAUX 07/22;2022-01-03;10.62;10.62;0.0;0.0;07/22;;A;1;2022;1;1;AC
26569;401060L;R DIVERS;R DIVERS;REMUAUX 1280400;2022-01-03;184.73;184.73;0.0;0.0;1280400;CHQ;A;1;2022;1;1;CC
26569;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;REMUAUX 1280400;2022-01-03;0.0;0.0;184.73;184.73;1280400;CHQ;K;1;2022;1;1;CC
26570;606802K;ALIMENTATION;VIE COMMUNAUTAIRE;01 SUPER U;2022-01-08;320.83;320.83;0.0;0.0;1280401;CHQ;K;1;2022;1;1;CC
26570;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;01 SUPER U;2022-01-08;0.0;0.0;320.83;320.83;1280401;CHQ;K;1;2022;1;1;CC
26571;606300K;FOURNITURES COMMUN.;MATERIEL;02 RAMPAL;2022-01-08;98.0;98.0;0.0;0.0;1280402;CHQ;K;1;2022;1;1;CC
26571;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;02 RAMPAL;2022-01-08;0.0;0.0;98.0;98.0;1280402;CHQ;K;1;2022;1;1;CC
26572;401054L;QUEROL;QUEROL;QUEROL 08/22;2022-01-15;0.0;0.0;276.71;276.71;08/22;;A;1;2022;1;1;AC
26572;606300L;FOURNITURES AGRI.;MATERIEL;QUEROL 08/22;2022-01-15;230.59;276.71;0.0;0.0;08/22;;A;1;2022;1;1;AC
26572;445661L;TVA SUR ACHATS 20%;TVA SUR ACHATS 20%;QUEROL 08/22;2022-01-15;46.12;46.12;0.0;0.0;08/22;;A;1;2022;1;1;AC
26573;401054L;QUEROL;QUEROL;QUEROL 1280403;2022-01-15;276.71;276.71;0.0;0.0;1280403;CHQ;A;1;2022;1;1;CC
26573;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;QUEROL 1280403;2022-01-15;0.0;0.0;276.71;276.71;1280403;CHQ;K;1;2022;1;1;CC
26575;401010L;B DIVERS;B DIVERS;BUREAU VERITAS VIR;2022-01-22;1653.0;1653.0;0.0;0.0;VIR;VIR;A;1;2022;1;1;CC
26575;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;BUREAU VERITAS VIR;2022-01-22;0.0;0.0;1653.0;1653.0;VIR;VIR;K;1;2022;1;1;CC
26576;401005L;A DIVERS;A DIVERS;ALMAZARAS 10/22;2022-01-19;0.0;0.0;4290.0;4290.0;10/22;;A;1;2022;1;1;AC
26576;601900L;INGREDIENTS CONSERVERIE;CONSERVERIE;ALMAZARAS 10/22;2022-01-19;4290.0;4290.0;0.0;0.0;10/22;;A;1;2022;1;1;AC
26577;401005L;A DIVERS;A DIVERS;ALMAZARAS HUILE OLIVE VIR;2022-01-22;4290.0;4290.0;0.0;0.0;VIR;VIR;A;1;2022;1;1;CC
26577;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;ALMAZARAS HUILE OLIVE VIR;2022-01-22;0.0;0.0;4290.0;4290.0;VIR;VIR;K;1;2022;1;1;CC
26578;401056L;O, P, Q DIVERS;O, P, Q DIVERS;ODIM VOLX 11/22;2022-02-01;0.0;0.0;177.6;177.6;11/22;;A;2;2022;1;1;AC
26578;601920L;MATERIEL CONSERVERIE;CONSERVERIE;ODIM VOLX 11/22;2022-02-01;148.0;177.6;0.0;0.0;11/22;;A;2;2022;1;1;AC
26578;445661L;TVA SUR ACHATS 20%;TVA SUR ACHATS 20%;ODIM VOLX 11/22;2022-02-01;29.6;29.6;0.0;0.0;11/22;;A;2;2022;1;1;AC
26579;401056L;O, P, Q DIVERS;O, P, Q DIVERS;ODIM VOLX VIR;2022-01-22;177.6;177.6;0.0;0.0;VIR;VIR;A;1;2022;1;1;CC
26579;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;ODIM VOLX VIR;2022-01-22;0.0;0.0;177.6;177.6;VIR;VIR;K;1;2022;1;1;CC
26580;401016L;C DIVERS;C DIVERS;SCOT CIGOGNE 12/22;2022-02-01;0.0;0.0;206.98;206.98;12/22;;A;2;2022;1;1;AC
26580;601900L;INGREDIENTS CONSERVERIE;CONSERVERIE;SCOT CIGOGNE 12/22;2022-02-01;187.64;206.98;0.0;0.0;12/22;;A;2;2022;1;1;AC
26580;445662L;TVA SUR ACHATS 10%;TVA SUR ACHATS 10%;SCOT CIGOGNE 12/22;2022-02-01;19.34;19.34;0.0;0.0;12/22;;A;2;2022;1;1;AC
26581;401016L;C DIVERS;C DIVERS;SCOT LA CIGOGNE VIR;2022-01-22;206.98;206.98;0.0;0.0;VIR;VIR;A;1;2022;1;1;CC
26581;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;SCOT LA CIGOGNE VIR;2022-01-22;0.0;0.0;206.98;206.98;VIR;VIR;K;1;2022;1;1;CC
26582;618100K;DOCUMENTATION GENERALE COMMUN.;ENTRETIEN PERSONNEL;03 WOZ WOCHENZEITUNG ABO;2022-01-22;323.0;323.0;0.0;0.0;VIR;VIR;K;1;2022;1;1;CC
26582;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;03 WOZ WOCHENZEITUNG ABO;2022-01-22;0.0;0.0;323.0;323.0;VIR;VIR;K;1;2022;1;1;CC
26583;401016L;C DIVERS;C DIVERS;CITEO EMBALLAGES13/22;2022-02-01;0.0;0.0;96.0;96.0;13/22;;A;2;2022;1;1;AC
26583;601921L;ENTRETIEN CONSERVERIE;CONSERVERIE;CITEO EMBALLAGES13/22;2022-02-01;80.0;96.0;0.0;0.0;13/22;;A;2;2022;1;1;AC
26583;445661L;TVA SUR ACHATS 20%;TVA SUR ACHATS 20%;CITEO EMBALLAGES13/22;2022-02-01;16.0;16.0;0.0;0.0;13/22;;A;2;2022;1;1;AC
26584;401016L;C DIVERS;C DIVERS;CITEO EMBALLAGES VIR;2022-01-22;96.0;96.0;0.0;0.0;VIR;VIR;A;1;2022;1;1;CC
26584;512113J;CREDIT COOPERATIF COURANT;CREDIT COOPERATIF COURANT;CITEO EMBALLAGES VIR;2022-01-22;0.0;0.0;96.0;96.0;VIR;VIR;K;1;2022;1;1;CC
